Taxa,Origin,Body.Length.Grat,Microscope.Corr.Fac,Cup,Cup.Weight(g),Body.Length(mm),Cup.Org.Weight(g),Org.Weight(g),Comments
Dragon,Toledo,51,10,89,0.51232,7.2857142857,0.51368,0.00136,
Dragon,Toledo,56,10,90,0.51079,8,0.51201,0.00122,
Dragon,Toledo,52,10,91,0.51248,7.4285714286,0.51349,0.00101,
Dragon,Toledo,21,10,92,0.51172,3,0.51187,0.00015,
Dragon,Toledo,54,10,93,0.51383,7.7142857143,0.51476,0.00093,
Dragon,Toledo,34,10,94,0.51106,4.8571428571,0.51134,0.00028,
Dragon,Toledo,35,10,95,0.51119,5,0.51166,0.00047,
Dragon,Toledo,33,10,96,0.5103,4.7142857143,0.51083,0.00053,
Dragon,Toledo,54,10,97,0.51114,7.7142857143,0.51226,0.00112,
Dragon,Toledo,73,10,98,0.50894,10.4285714286,0.51076,0.00182,
Dragon,Toledo,54,10,99,0.50882,7.7142857143,0.50991,0.00109,
Dragon,Toledo,76,10,100,0.51097,10.8571428571,0.51262,0.00165,
